date,location_name,darkness_minutes,daylight_minutes
2020-08-25,"Tallinn, Estonia",460,980
2020-08-26,"Tallinn, Estonia",466,974
2020-08-27,"Tallinn, Estonia",472,968
2020-08-28,"Tallinn, Estonia",477,963
2020-08-29,"Tallinn, Estonia",483,957
2020-08-30,"Tallinn, Estonia",489,951
2020-08-31,"Tallinn, Estonia",495,945
2020-09-01,"Tallinn, Estonia",501,939
2020-09-02,"Tallinn, Estonia",506,934
2020-09-03,"Tallinn, Estonia",512,928
2020-09-04,"Tallinn, Estonia",518,922
2020-09-05,"Tallinn, Estonia",523,917
2020-09-06,"Tallinn, Estonia",529,911
2020-09-07,"Tallinn, Estonia",535,905
2020-09-08,"Tallinn, Estonia",540,900
2020-09-09,"Tallinn, Estonia",546,894
2020-09-10,"Tallinn, Estonia",552,888
2020-09-11,"Tallinn, Estonia",557,883
2020-09-12,"Tallinn, Estonia",563,877
2020-09-13,"Tallinn, Estonia",568,872
2020-09-14,"Tallinn, Estonia",574,866
2020-09-15,"Tallinn, Estonia",579,861
2020-09-16,"Tallinn, Estonia",585,855
2020-09-17,"Tallinn, Estonia",590,850
2020-09-18,"Tallinn, Estonia",596,844
2020-09-19,"Tallinn, Estonia",601,839
2020-09-20,"Tallinn, Estonia",607,833
2020-09-21,"Tallinn, Estonia",612,828
2020-09-22,"Tallinn, Estonia",618,822
2020-09-23,"Tallinn, Estonia",623,817
2020-09-24,"Tallinn, Estonia",628,812
2020-09-25,"Tallinn, Estonia",634,806
2020-09-26,"Tallinn, Estonia",639,801
2020-09-27,"Tallinn, Estonia",644,796
2020-09-28,"Tallinn, Estonia",650,790
2020-09-29,"Tallinn, Estonia",655,785
2020-09-30,"Tallinn, Estonia",660,780
2020-10-01,"Tallinn, Estonia",666,774
2020-10-02,"Tallinn, Estonia",671,769
2020-10-03,"Tallinn, Estonia",676,764
2020-10-04,"Tallinn, Estonia",681,759
2020-10-05,"Tallinn, Estonia",687,753
2020-10-06,"Tallinn, Estonia",692,748
2020-10-07,"Tallinn, Estonia",697,743
2020-10-08,"Tallinn, Estonia",702,738
2020-10-09,"Tallinn, Estonia",707,733
2020-10-10,"Tallinn, Estonia",713,727
2020-10-11,"Tallinn, Estonia",718,722
2020-10-12,"Tallinn, Estonia",723,717
2020-10-13,"Tallinn, Estonia",728,712
2020-10-14,"Tallinn, Estonia",733,707
2020-10-15,"Tallinn, Estonia",738,702
2020-10-16,"Tallinn, Estonia",743,697
2020-10-17,"Tallinn, Estonia",748,692
2020-10-18,"Tallinn, Estonia",753,687
2020-10-19,"Tallinn, Estonia",758,682
2020-10-20,"Tallinn, Estonia",763,677
2020-10-21,"Tallinn, Estonia",768,672
2020-10-22,"Tallinn, Estonia",773,667
2020-10-23,"Tallinn, Estonia",778,662
2020-10-24,"Tallinn, Estonia",783,657
2020-10-25,"Tallinn, Estonia",788,652
2020-10-26,"Tallinn, Estonia",792,648
2020-10-27,"Tallinn, Estonia",797,643
2020-10-28,"Tallinn, Estonia",802,638
2020-10-29,"Tallinn, Estonia",807,633
2020-10-30,"Tallinn, Estonia",811,629
2020-10-31,"Tallinn, Estonia",816,624
2020-11-01,"Tallinn, Estonia",821,619
2020-11-02,"Tallinn, Estonia",825,615
2020-11-03,"Tallinn, Estonia",830,610
2020-11-04,"Tallinn, Estonia",834,606
2020-11-05,"Tallinn, Estonia",839,601
2020-11-06,"Tallinn, Estonia",843,597
2020-11-07,"Tallinn, Estonia",848,592
2020-11-08,"Tallinn, Estonia",852,588
2020-11-09,"Tallinn, Estonia",856,584
2020-11-10,"Tallinn, Estonia",861,579
2020-11-11,"Tallinn, Estonia",865,575
2020-11-12,"Tallinn, Estonia",869,571
2020-11-13,"Tallinn, Estonia",873,567
2020-11-14,"Tallinn, Estonia",877,563
2020-11-15,"Tallinn, Estonia",881,559
2020-11-16,"Tallinn, Estonia",885,555
2020-11-17,"Tallinn, Estonia",889,551
2020-11-18,"Tallinn, Estonia",893,547
2020-11-19,"Tallinn, Estonia",897,543
2020-11-20,"Tallinn, Estonia",900,540
2020-11-21,"Tallinn, Estonia",904,536
2020-11-22,"Tallinn, Estonia",908,532
2020-11-23,"Tallinn, Estonia",911,529
2020-11-24,"Tallinn, Estonia",914,526
2020-11-25,"Tallinn, Estonia",918,522
2020-08-25,"Honolulu, Hawaii",809,631
2020-08-26,"Honolulu, Hawaii",807,633
2020-08-27,"Honolulu, Hawaii",806,634
2020-08-28,"Honolulu, Hawaii",805,635
2020-08-29,"Honolulu, Hawaii",804,636
2020-08-30,"Honolulu, Hawaii",803,637
2020-08-31,"Honolulu, Hawaii",801,639
2020-09-01,"Honolulu, Hawaii",800,640
2020-09-02,"Honolulu, Hawaii",799,641
2020-09-03,"Honolulu, Hawaii",798,642
2020-09-04,"Honolulu, Hawaii",796,644
2020-09-05,"Honolulu, Hawaii",795,645
2020-09-06,"Honolulu, Hawaii",794,646
2020-09-07,"Honolulu, Hawaii",793,647
2020-09-08,"Honolulu, Hawaii",792,648
2020-09-09,"Honolulu, Hawaii",790,650
2020-09-10,"Honolulu, Hawaii",789,651
2020-09-11,"Honolulu, Hawaii",788,652
2020-09-12,"Honolulu, Hawaii",787,653
2020-09-13,"Honolulu, Hawaii",785,655
2020-09-14,"Honolulu, Hawaii",784,656
2020-09-15,"Honolulu, Hawaii",783,657
2020-09-16,"Honolulu, Hawaii",782,658
2020-09-17,"Honolulu, Hawaii",780,660
2020-09-18,"Honolulu, Hawaii",779,661
2020-09-19,"Honolulu, Hawaii",778,662
2020-09-20,"Honolulu, Hawaii",777,663
2020-09-21,"Honolulu, Hawaii",776,664
2020-09-22,"Honolulu, Hawaii",774,666
2020-09-23,"Honolulu, Hawaii",773,667
2020-09-24,"Honolulu, Hawaii",772,668
2020-09-25,"Honolulu, Hawaii",771,669
2020-09-26,"Honolulu, Hawaii",769,671
2020-09-27,"Honolulu, Hawaii",768,672
2020-09-28,"Honolulu, Hawaii",767,673
2020-09-29,"Honolulu, Hawaii",766,674
2020-09-30,"Honolulu, Hawaii",765,675
2020-10-01,"Honolulu, Hawaii",763,677
2020-10-02,"Honolulu, Hawaii",762,678
2020-10-03,"Honolulu, Hawaii",761,679
2020-10-04,"Honolulu, Hawaii",760,680
2020-10-05,"Honolulu, Hawaii",759,681
2020-10-06,"Honolulu, Hawaii",757,683
2020-10-07,"Honolulu, Hawaii",756,684
2020-10-08,"Honolulu, Hawaii",755,685
2020-10-09,"Honolulu, Hawaii",754,686
2020-10-10,"Honolulu, Hawaii",753,687
2020-10-11,"Honolulu, Hawaii",752,688
2020-10-12,"Honolulu, Hawaii",750,690
2020-10-13,"Honolulu, Hawaii",749,691
2020-10-14,"Honolulu, Hawaii",748,692
2020-10-15,"Honolulu, Hawaii",747,693
2020-10-16,"Honolulu, Hawaii",746,694
2020-10-17,"Honolulu, Hawaii",745,695
2020-10-18,"Honolulu, Hawaii",744,696
2020-10-19,"Honolulu, Hawaii",742,698
2020-10-20,"Honolulu, Hawaii",741,699
